السؤال,الجواب,الكلمة المفتاحية,التصنيف
ما هي الخطوات التي يجب اتخاذها إذا ارتكب الطالب مخالفة تأديبية؟,يتم إحالة الطالب إلى لجنة التحقيق لتقييم المخالفة واتخاذ العقوبات المناسبة ,خطوات التحقيق,تعليم
ما هي الخطوات التي يجب على الطالب اتباعها للحصول على دبلوم الدراسات العليا بعد الفشل في مناقشة الرسالة؟,يجب على الطالب إجراء التعديلات المطلوبة على الرسالة في المدة المحددة، وعرض الرسالة المعدلة على لجنة المناقشة  إذا وافقت اللجنة، يعتبر الطالب ناجحًا، وإلا يعتبر راسبًا ويمنح شهادة دبلوم الدراسات العليا ,الفشل في المناقشة، دبلوم الدراسات العليا,شروط منح الشهادات
ما هي الخطوات المتبعة إذا أراد الموفد متابعة دراسته على نفقته الخاصة بعد إنهاء البعثة؟,يمكن لمجلس العمداء السماح له بمتابعة دراسته على نفقته الخاصة حتى نهاية المدة المقررة، مع مطالبته برد النفقات التي تكبدتها الجامعة بالإضافة إلى 50% منها ,متابعة الدراسة، النفقات,إدارية، مالية
ما هي الخطوات المتبعة لتقديم استقالة الموفد من الجامعة؟,يجب على الموفد تقديم طلب استقالة كتابي، تسوية جميع الأمور المالية والإدارية، والحصول على موافقة الجهات المختصة قبل المغادرة ,استقالة الموفد، الإجراءات,إدارية، قانونية
ما هي الخطوات المتبعة لتقديم طلب إعفاء من دفع النفقات بسبب الحالة الصحية؟,يجب على الموفد تقديم تقارير طبية رسمية وقطعية من اللجنة الطبية المعتمدة من الجامعة، ويقرر مجلس العمداء قبول أو رفض الطلب دون الحاجة لبيان الأسباب ,طلب الإعفاء، الحالة الصحية,قانونية، طبية
ما هي الخطوة الأولى للانسحاب من الجامعة؟,تقديم طلب انسحاب رسمي إلى وحدة القبول والتسجيل ,انسحاب، طلب رسمي,الانسحاب
ما هي الدراسات التي تتولاها شعبة الزراعة؟,الدراسات الفنية، التصاميم، دراسات الجدوى الاقتصادية والفنية,الدراسات الزراعية,مسؤوليات
ما هي الرسوم التي يجب على الطالب دفعها عند التحول من برنامج الماجستير إلى دبلوم الدراسات العليا؟,يجب على الطالب دفع نفس رسوم الساعات المقررة والرسوم الفصلية الأخرى لبرنامج الماجستير للساعات التي يسجلها للحصول على شهادة دبلوم الدراسات العليا، اعتباراً من بداية الفصل الصيفي من العام الجامعي  0  / 0 3 ,رسوم التحويل، دبلوم الدراسات العليا,مالية، إدارية
ما هي الرسوم المطلوبة عند تحويل الطالب من برنامج الماجستير إلى دبلوم الدراسات العليا؟,يجب على الطالب دفع نفس رسوم الساعات المقررة والرسوم الفصلية الأخرى لبرنامج الماجستير للساعات التي يسجلها للحصول على شهادة دبلوم الدراسات العليا، اعتباراً من بداية الفصل الصيفي من العام الجامعي  0  / 0 3 ,رسوم التحويل، دبلوم الدراسات العليا,مالية، إدارية
ما هي الرسوم المقررة للاشتراك في التأمين الصحي لطلبة الجامعة الهاشمية؟,5 دنانير أردنية لكل فصل دراسي للبرنامج العادي، و 00 دولار للبرنامج الدولي ,التأمين الصحي,تعليم
ما هي الزيادة السنوية للمؤهلات المختلفة؟,الزيادة السنوية للمؤهلات المختلفة تختلف حسب الدرجة والسلم المعدل ,الزيادة السنوية,الرواتب
ما هي الساعات المعتمدة للمادة التي تشمل تطبيق عملي؟,تحتسب الساعات المعتمدة حسب عدد الساعات التطبيقية أو المخبريّة، على الأقل ساعتين عمليتين أو مخبريتين,تطبيق عملي,الساعات المعتمدة
ما هي الساعات المعتمدة للمادة التي تشمل محاضرة نظرية؟,  ساعة معتمدة للمادة التي تشمل محاضرة نظرية,محاضرة نظرية,الساعات المعتمدة
ما هي السياسات التي تضعها شعبة الزراعة؟,السياسات التسويقية والتخزينية المتعلقة بالزراعة,السياسات الزراعية,مسؤوليات
ما هي الشروط الأخرى التي يمكن أن يحددها الرئيس في قرار الإيفاد؟,يمكن للرئيس تحديد أي شروط أخرى يراها مناسبة لمصلحة الجامعة أو البعثة العلمية وفقاً للحاجة ,شروط إضافية، الرئيس,إدارية، قانونية
ما هي الشروط الأساسية للترشح لبعثة علمية وفقاً للمادة (6)؟,يجب أن يكون المرشح أردني الجنسية، يتمتع باللياقة الصحية، حاصل على المؤهلات العلمية المطلوبة والشروط الأخرى المقررة للبعثة، وأن يكون قد أمضى مدة سنة واحدة على الأقل في الخدمة الفعلية في الجامعة (مع إمكانية تجاوز هذا الشرط عند الضرورة) ,شروط البعثة، الترشيح,شروط التأهيل، إدارية
ما هي الشروط البيئية التي يجب توافرها في المستودعات؟,يجب أن تكون مناسبة لتخزين اللوازم الزراعية، مع مراعاة التهوية والتخزين الآمن,شروط المستودع,إجراءات تنفيذية
ما هي الشروط التي تمنح للموفد في دورة تدريبية؟,يجوز إيفاد مساعد التدريس أو مساعد البحث والموظف بهدف التدريب بقرار من الرئيس وفق تعليمات يصدرها مجلس العمداء لهذه الغاية، مع الالتزام بالشروط المحددة في التعليمات المقررة ,إيفاد التدريب، الشروط,نظام البعثات العلمية
ما هي الشروط التي تمنح للموفدين في دورات تدريبية حسب النظام؟,يجوز إيفاد مساعد التدريس أو مساعد البحث والموظف بهدف التدريب بقرار من الرئيس وفق تعليمات يصدرها مجلس العمداء لهذه الغاية، مع الالتزام بالشروط المحددة في التعليمات المقررة ,إيفاد التدريب، الشروط,نظام البعثات العلمية
ما هي الشروط التي تمنع الموظف من الحصول على إجازة سنوية؟,لا يمكن للموظف الحصول على إجازة سنوية إذا كانت مدة خدمته أقل من سنة أو إذا كانت مصلحة العمل تتطلب تواجده ,شروط الإجازة,قوانين العمل
ما هي الشروط التي تمنع الموفد من تغيير مكان الدراسة أو التخصص؟,لا يجوز تغيير مكان الدراسة أو التخصص إلا بقرار من الجهة التي أصدرت قرار الإيفاد، مع الالتزام بشروط العقد وبقاء الكفالة سارية المفعول ,تغيير مكان الدراسة، الشروط,إدارية، قانونية
ما هي الشروط التي تمنع قطع الإجازة الطارئة بعد منحها؟,لا يجوز قطع الإجازة الطارئة بعد بدءها، وفقًا للمادة (4) من تعليمات منح الإجازة الطارئة لأعضاء هيئة التدريس في الجامعة ,عدم قطع الإجازة، الإجازة الطارئة,الإجازة الطارئة
ما هي الشروط التي يجب أن تتوافر في العقد الموقع من قبل الموفد؟,يجب أن يتعهد الموفد بالخدمة في الجامعة لمدة تساوي مثلي مدة الإيفاد، ويجب أن يكون العقد موقعًا لدى الكاتب العدل، مع تنظيم العقد بعدد كاف من النسخ للاحتفاظ بها لدى الجامعة والموفد وكفيله ,شروط العقد، الموفد,نظام البعثات العلمية
ما هي الشروط التي يجب أن تتوافر في المخطوطات العلمية لتقبل للنشر؟,يجب أن تكون المخطوطات مؤلفة، محققة أو مترجمة ومراجعة قبل نشرها ,شروط المخطوطات,معلومات عامة
ما هي الشروط التي يجب أن تتوافر في المشرف على الرسالة؟,يجب أن يكون المشرف أستاذًا أو أستاذًا مشاركًا أو محاضرًا مؤهلاً للتعيين في رتبة أستاذ مشارك على الأقل، مع نشر بحثين علميين على الأقل بعد حصوله على الدكتوراه ,شروط المشرف,الإشراف الأكاديمي
ما هي الشروط التي يجب أن تتوافر في الموظف ليتم تعيينه في منصب إداري؟,يجب أن يكون حاصلاً على درجة جامعية أولى، وله خبرة لا تقل عن عشر سنوات ,المنصب الإداري,الإدارة
ما هي الشروط التي يجب أن تتوافر في تقرير الممتحن الخارجي؟,يجب أن يكون تقرير الممتحن الخارجي تفصيليًا عن المناقشة ويُقدم إلى عميد البحث العلمي والدراسات العليا وفق النموذج المعتمد لذلك ,تقرير الممتحن الخارجي، الشروط,إجراءات المناقشة
ما هي الشروط التي يجب أن تتوافر في عقد الخدمة الموقع من قبل الموفد؟,يجب أن يتعهد الموفد بالخدمة في الجامعة لمدة تساوي مثلي مدة الإيفاد، ويجب أن يكون العقد موقعًا لدى الكاتب العدل، مع تنظيم العقد بعدد كاف من النسخ للاحتفاظ بها لدى الجامعة والموفد وكفيله ,شروط العقد، الموفد,نظام البعثات العلمية
ما هي الشروط التي يجب أن تتوافر في عقد الخدمة الموقع من قبل الموفد؟,يجب أن يتعهد الموفد بالخدمة في الجامعة لمدة تساوي مثلي مدة الإيفاد، وأن يحتفظ بنسخة من العقد لدى الجامعة والموفد وكفيله، مع تنظيم العقد بعدد كاف من النسخ وفقًا للمادة (9) من النظام ,عقد الخدمة، الشروط,نظام البعثات العلمية
ما هي الشروط التي يجب أن تتوافر في قرار الإيفاد؟,يجب أن ينص قرار الإيفاد على التخصص المطلوب، المؤسسة التي يوفد إليها الموفد، مدة الإيفاد، الدرجة العلمية أو التدريب المطلوب، وأي شروط أخرى يقررها الرئيس ,شروط قرار الإيفاد، التفاصيل,نظام البعثات العلمية
ما هي الشروط التي يجب أن تتوافر في قرار الإيفاد للموفدين؟,يجب أن يتضمن قرار الإيفاد التخصص المطلوب، المؤسسة الموفد إليها، مدة الإيفاد، الدرجة العلمية أو التدريب المطلوب، وأي شروط أخرى يقررها الرئيس ,شروط الإيفاد، القرار,نظام البعثات العلمية
ما هي الشروط التي يجب أن تتوفر في البعثات التي تطبق هذا النظام؟,يجب أن تكون البعثات العلمية أو دورات تدريبية لمدة تزيد على ستة أشهر، سواء كانت على نفقة الجامعة أو على نفقة جهة أخرى، وفقًا للمادة (3) من النظام ,شروط البعثات، مدة الإيفاد,نظام البعثات العلمية
ما هي الشروط التي يجب أن يتوافر فيها الطالب للتقديم للحصول على دورة تدريبية بعثة علمية؟,يجب أن يكون الطالب أداة تدريس أو بحث، مستوفيًا شروط اللياقة الصحية، حائزًا على المؤهلات العلمية المطلوبة، وأمضى مدة سنة واحدة على الأقل في الخدمة الفعلية في الجامعة (يجوز تجاوزها عند الضرورة) ,شروط التدريب، الدورة التدريبية,نظام البعثات العلمية
ما هي الشروط التي يجب أن يتوافر فيها الطالب للحصول على البعثة العلمية؟,يجب أن يكون الطالب أردني الجنسية، يتمتع باللياقة الصحية، حاصل على المؤهلات العلمية المطلوبة، وأمضى مدة سنة واحدة على الأقل في الخدمة الفعلية في الجامعة (يجوز تجاوزها عند الضرورة) ,شروط البعثة، الموفد,نظام البعثات العلمية
ما هي الشروط التي يجب أن يتوافر فيها الطالب للحصول على دبلوم الدراسات العليا بعد رسوبه في الامتحان الشامل؟,يجب على الطالب الذي رسب في الامتحان الشامل مرتين أن يحصل على شهادة دبلوم الدراسات العليا وفقًا لأحكام المادة (5 )، بالإضافة إلى استيفاء الشروط الأخرى مثل معدل تراكمي لا يقل عن   50 ,رسوب الامتحان، دبلوم الدراسات العليا,شروط منح الشهادات
ما هي الشروط التي يجب أن يتوافر فيها الطالب للحصول على دبلوم الدراسات العليا بعد رسوبه في مناقشة الرسالة؟,يجب على الطالب إجراء التعديلات المطلوبة على الرسالة في المدة المحددة وعرضها على لجنة المناقشة، وإذا وافقت اللجنة، يعتبر ناجحًا؛ وإلا، يحصل على دبلوم الدراسات العليا وفقًا للمادة (5 ) ,رسوب المناقشة، دبلوم الدراسات العليا,شروط منح الشهادات
ما هي الشروط التي يجب أن يتوافر فيها الطالب للحصول على دبلوم الدراسات العليا بعد رفض التعديلات على الرسالة؟,إذا رفضت لجنة المناقشة التعديلات التي أجراها الطالب على الرسالة، يعتبر الطالب راسبًا ويمنح شهادة دبلوم الدراسات العليا وفقًا لأحكام المادة (5 ) ,رفض التعديلات، دبلوم الدراسات العليا,شروط منح الشهادات
ما هي الشروط التي يجب أن يتوافر فيها الطالب للحصول على دبلوم الدراسات العليا بعد عدم إتمام الرسالة؟,يجب على الطالب عدم إتمام رسالة الماجستير في 8 فصول دراسية، أو رسب في الامتحان الشامل مرتين، أو رسب في مناقشة الرسالة أو لم يُجري التعديلات المطلوبة في الوقت المحدد للحصول على دبلوم الدراسات العليا ,عدم إتمام الرسالة، دبلوم الدراسات العليا,شروط منح الشهادات
ما هي الشروط التي يجب أن يتوافر فيها الطالب للحصول على دبلوم الدراسات العليا بعد فصل من الماجستير؟,يجب على الطالب المفصول دفع نفس رسوم الساعات المقررة والرسوم الفصلية الأخرى لبرنامج الماجستير للساعات التي يسجلها للحصول على دبلوم الدراسات العليا، اعتباراً من بداية الفصل الصيفي من العام الجامعي  0  / 0 3 ,فصل الماجستير، دبلوم الدراسات العليا,شروط منح الشهادات
ما هي الشروط التي يجب أن يتوافر فيها الطالب للحصول على شهادة دبلوم الدراسات العليا بعد الرسوب في الامتحان الشامل؟,يجب على الطالب الذي رسب في الامتحان الشامل للمرة الثانية أن يحصل على شهادة دبلوم الدراسات العليا وفقًا لأحكام المادة (5 ) من التعليمات، بالإضافة إلى استيفاء الشروط الأخرى مثل معدل تراكمي لا يقل عن   50 ,رسوب الامتحان، دبلوم الدراسات العليا,شروط منح الشهادات
ما هي الشروط التي يجب أن يتوفر عليها الطالب للانتقال من جامعة أردنية رسمية أخرى؟,يجب أن يتوافر له مقعد في التخصص وأن يكون قد درس بنجاح ما لا يقل عن  4 ساعة معتمدة ,انتقال، جامعة أردنية، مقعد شاغر,الانتقال
ما هي الشروط التي يجب أن يتوفر فيها الطالب للتقدم للبعثة العلمية؟,يجب أن يكون الطالب أردني الجنسية، يتوافر فيه شروط اللياقة الصحية، يكون حاصلاً على المؤهلات العلمية المطلوبة، وأمضى مدة سنة واحدة على الأقل في الخدمة الفعلية في الجامعة (يجوز تجاوزها عند الضرورة) ,شروط التقدم، البعثة العلمية,نظام البعثات العلمية
ما هي الشروط التي يجب أن يحققها الطالب عند إعادة دراسة مادة؟,"يجب أن تكون العلامة في المادة أقل من ""ب""، وتحتسب له العلامة الأعلى في المعدل الفصلي والتراكمي ",إعادة دراسة مادة,تعليمات جامعية
ما هي الشروط التي يجب توافرها في الأعضاء من هيئة التدريس في مجلس البحث العلمي؟,لا تقل رتبة أي منهم عن أستاذ مساعد,رتبة الأعضاء,معلومات عامة
ما هي الشروط التي يجب توافرها للطالب ليتمكن من الانتقال إلى تخصص آخر في الجامعة؟,يجب أن يكون معدل الطالب في الثانوية العامة مقبولاً في التخصص الذي يرغب في الانتقال إليه، أو أن يكون المعدل التنافسي في التخصص الجديد مساوياً أو أقل من المعدل في التخصص القديم ,شروط الانتقال,تعليم
ما هي الشروط التي يجب توفرها للطالب لدراسة مواد في جامعة أخرى؟,يجب أن يكون الطالب قد أنهى بنجاح 33 ساعة معتمدة في الجامعة، وأن يحصل على موافقة مسبقة من عميد الكلية لدراسة المواد في الجامعة الأخرى ,دراسة مواد خارج الجامعة,تعليم
ما هي الشروط التي يجب توفرها للطالب للانتقال إلى جامعة أخرى؟,يجب أن يتوافر للطالب مقعد شاغر في التخصص، وأن يكون قد درس ما لا يقل عن ساعة معتمدة في جامعته، ويجب أن يكون معدله التراكمي جيد جداً ,شروط الانتقال,تعليم
ما هي الشروط التي يجب توفرها للمواد التي درسها الطالب في جامعة أخرى لاحتسابها؟,"يجب أن تكون المواد معادلة لمادة أو مواد في الخطة الدراسية المقررة، وألا تقل علامته عن جيد جداً، وترصد علامة ""معفى"" لتلك المواد ولا تدخل ضمن المعدل التراكمي ",احتساب المواد,التحويل
ما هي الشروط التي يجب على الطالب المفصول تحقيقها للحصول على دبلوم الدراسات العليا؟,يجب على الطالب المفصول إكمال الساعات المقررة ودفع الرسوم الفصلية لبرنامج الماجستير للساعات التي يسجلها للحصول على دبلوم الدراسات العليا، بدءًا من الفصل الصيفي لعام  0  / 0 3 ,الشروط المفصل، دبلوم الدراسات العليا,شروط منح الشهادات
ما هي الشروط التي يجب على الطالب تحقيقها لدراسة أكثر من  9 ساعة معتمدة في الفصل الدراسي؟,يجب أن لا يقل معدل الطالب التراكمي عن   5 أو أن يتوقف تخرجه على مواد معينة,شروط العبء الدراسي,النظام الأكاديمي
ما هي الشروط التي يجب على الموفد تلبيتها للحصول على البعثة العلمية؟,يجب أن يكون الموفد أردني الجنسية، يتمتع باللياقة الصحية، حاصل على المؤهلات العلمية المطلوبة، وأمضى مدة سنة واحدة على الأقل في الخدمة الفعلية في الجامعة (يجوز تجاوزها عند الضرورة) ,شروط الموفد، البعثة العلمية,نظام البعثات العلمية
ما هي الشروط الخاصة بأعضاء مجلس البحث العلمي من هيئة التدريس؟,يجب أن لا تقل رتبة العضو عن أستاذ مساعد ليكون عضوًا في مجلس البحث العلمي ,رتبة الأعضاء,معلومات عامة
"ما هي الشروط الخاصة لتسمية عضو الهيئة التدريسية ""أستاذ شرف""؟",يجب أن يكون قد خدم في الجامعة لمدة لا تقل عن  0 سنوات برتبة أستاذ وتقاعد بسبب بلوغ سن السبعين ,أستاذ شرف,التقاعد
ما هي الشروط الخاصة لتعيين مدرس مساعد في الجامعة؟,يجب أن يكون حاصلاً على درجة الماجستير أو ما يعادلها في تخصصه ,تعيين مدرس مساعد,شروط وأحكام
ما هي الشروط الخاصة لتغطية نفقات المعالجة الطارئة في الخارج؟,يجب على المشترك أو المنتفع إبلاغ الجامعة في غضون عشرة أيام، وتقديم تقرير طبي من المرجع الطبي المعالج ,المعالجة الطارئة,تقنية
ما هي الشروط الخاصة للترقية إلى رتبة أستاذ مساعد؟,يجب أن يكون قد حصل على درجة الدكتوراة أو ما يعادلها في تخصصه ,الترقية,شروط وأحكام
ما هي الشروط الخاصة للترقية إلى رتبة أستاذ مساعد؟,يجب أن يكون حاصلاً على درجة الدكتوراة أو ما يعادلها ,الترقية,شروط وأحكام
ما هي الشروط الصحية المطلوبة للترشح للبعثة العلمية؟,يجب أن يتوافر في المرشح شروط اللياقة الصحية المطلوبة كما تحددها الجامعة ,الشروط الصحية، البعثة العلمية,تأهيل، صحية
ما هي الشروط العامة لتصوير الرسالة؟,يفوض الطالب الجامعة (خطياً) حق تصوير الرسالة كلياً أو جزئياً لغايات البحث العلمي والتبادل مع الجامعات والمؤسسات التعليمية الأخرى ,تصوير الرسالة، تفويض الجامعة,إجراءات الرسالة
ما هي الشروط اللازمة لإعفاء الموفد من دفع النفقات بسبب الحالة الصحية؟,يجب أن تستند إلى تقارير طبية رسمية وقطعية من اللجنة الطبية المعتمدة من الجامعة، ويجب أن لا يقبل مجلس العمداء التقارير أو يرفضها دون الحاجة لبيان الأسباب ,إعفاء النفقات، الحالة الصحية,قانونية، طبية
ما هي الشروط اللازمة لاستخدام السيارة الخاصة في مهمة رسمية؟,يجب أن يكون المشمول بتكليف من الرئيس ويستخدم سيارته الخاصة في مهمة رسمية خارج حدود مركز عمله الرسمي ,شروط استخدام السيارة الخاصة، التكليف الرسمي,مالي، تنظيمي
ما هي الشروط اللازمة لاستعمال وسائط النقل وفقاً لتصنيف الفئات؟,يجب أن يكون المشمول مصنفاً ضمن إحدى الفئات المحددة ويستخدم وسائط النقل المخصصة له وفقاً للترتيب المبين في المادة (4) من النظام ,شروط استعمال النقل، تصنيف الفئات,تنظيمي، قانوني
ما هي الشروط اللازمة لاستلام الموفد للمخصصات المالية؟,يجب على الموفد تقديم المستندات المطلوبة مثل إثبات التسجيل في المؤسسة الموفدة إليها، تقارير الأداء الأكاديمي، وإتمام الإجراءات المالية اللازمة للحصول على المخصصات ,استلام المخصصات، الشروط,مالية، إدارية
ما هي الشروط اللازمة لاستمرار البعثة العلمية دون دفع الموفد للنفقات؟,يجب أن يكون الموفد مستمراً في دراسته بدون خرق الشروط المحددة في النظام، مثل الالتزام بالخدمة في الجامعة وعدم القيام بأعمال غير مسموح بها ,استمرار البعثة، الشروط,قانونية، أكاديمية
ما هي الشروط اللازمة لتعديل خطة الرسالة؟,يمكن تعديل خطة الرسالة إذا اقتضت ظروف البحث ذلك، ويجب أن يتم التعديل بنفس الطريقة التي تمت بها الموافقة على الخطة الأولية ,تعديل خطة الرسالة,الإشراف
ما هي الشروط اللازمة لتعيين مشرف على رسالة الطالب في برنامج الماجستير؟,يجب أن يكون المشرف أستاذًا أو أستاذًا مشاركًا أو محاضرًا متفرغًا مؤهلاً للتعيين في رتبة أستاذ مشارك على الأقل ,تعيين المشرف,الإشراف الأكاديمي
ما هي الشروط اللازمة لتقديم طلب قرض للموفد؟,يجب على الموفد تقديم الضمانات المطلوبة، مثل رهن عقار أو كفالة مالية، وتقديم طلب رسمي يوضح سبب الحاجة للقرض وكيفية سداده ,طلب القرض، الضمانات,مالية، قانونية
ما هي الشروط اللازمة لتقييم المخطوطات المؤلفة؟,يجب أن تكون المخطوطات مؤلفة، محققة أو مترجمة,تقييم المخطوطات,إجراءات تنفيذية
ما هي الشروط اللازمة لحساب المواد التي درسها الطالب في كلية المجتمع؟,"يجب أن يكون الطالب قد حصل على علامة لا تقل عن ""ب"" أو ما يعادلها في التخصصات الإنسانية، وعلامة ""ب"" أو أقل لتخصصات الصيدلة والهندسة، ولا يزيد عدد الساعات المعتمدة المعادلة عن 30 ساعة ",كلية المجتمع,تعليم
ما هي الشروط اللازمة لصرف المكافآت عن العمل الإضافي؟,لا يتم صرف أي مكافأة عن العمل الإضافي إلا بعد الحصول على تكليف خطي من رئاسة الجامعة يحدد فيه مبررات العمل وكلفته ,المكافأة,تعليم
ما هي الشروط اللازمة لصرف علاوة الانتقال للسفر الرسمي داخل المملكة؟,يجب ألا تزيد المدة التي تُصرف عنها العلاوة على ثلاثة أشهر متتالية، وتكون وفقاً للترتيب المحدد لكل فئة ,شروط علاوة الانتقال، مدة العلاوة,مالي، تنظيمي
ما هي الشروط اللازمة لصرف علاوة السفر لمهمة خارج المملكة؟,يجب أن تكون المهمة رسمية وأن يكون المشمول مصنفاً ضمن إحدى الفئات المحددة ويستخدم وسائط النقل المخصصة له وفقاً للترتيب المبين في المادة (7) ,شروط علاوة السفر الخارجي، تصنيف الفئات,مالي، تنظيمي
ما هي الشروط اللازمة لصرف علاوة السفر لمهمة رسمية خارج المملكة؟,يجب أن تكون المهمة رسمية وأن يكون المشمول مصنفاً ضمن إحدى الفئات المحددة ويستخدم وسائط النقل المخصصة له وفقاً للترتيب المبين في المادة (7) ,شروط علاوة السفر الخارجي، تصنيف الفئات,مالي، تنظيمي
ما هي الشروط اللازمة لصرف علاوة السفر لمهمة رسمية خارج المملكة للفئة الخامسة والسادسة؟,لم يتم تحديد علاوة محددة للفئة الخامسة والسادسة في دول الفئة (أ) و (ب) ,شروط علاوة السفر، الفئات الخامسة والسادسة,مالي، تنظيمي
ما هي الشروط اللازمة لقبول تقارير اللجنة الطبية للإعفاء من دفع النفقات؟,يجب أن تكون التقارير طبية رسمية وقطعية من اللجنة الطبية المعتمدة من الجامعة، ويجب أن تثبت الحالة الصحية التي تحول دون متابعة الدراسة أو الخدمة في الجامعة ,تقارير طبية، إعفاء النفقات,طبية، قانونية
ما هي الشروط اللازمة لقبول قرض من الجامعة لتسديد النفقات؟,يجب أن يكون الموفد قد أنهى البعثة لأي سبب من الأسباب المسموح بها، وأن يقدم الضمانات المالية المطلوبة، وأن يلتزم بسداد القرض وفقاً للشروط المحددة من قبل مجلس العمداء ,قبول القرض، الشروط,مالية، قانونية
ما هي الشروط اللازمة للانتقال من جامعة أردنية رسمية إلى الجامعة الهاشمية؟,يجب أن يتوافر مقعد شاغر في التخصص، وأن يكون الطالب قد درس ما لا يقل عن  4 ساعة معتمدة بنجاح في جامعته السابقة، بالإضافة إلى شروط المعدل التراكمي ,الانتقال، الجامعة الأردنية، الشروط,تعليم
ما هي الشروط اللازمة للحصول على إعفاء من العمل في الجامعة بعد انتهاء البعثة؟,يجب على الموفد تقديم أسباب مقنعة ومقبولة للجامعة، مثل التزامات صحية أو عائلية، والحصول على موافقة رسمية من الجامعة لإعفاءه من العمل ,إعفاء من العمل، الشروط,قانونية، إدارية
ما هي الشروط اللازمة للحصول على إعفاء من خدمة الجامعة بعد انتهاء البعثة؟,يجب على الموفد تقديم أسباب مقنعة ومقبولة للجامعة مثل التزامات صحية أو عائلية، وتقديم المستندات المطلوبة للحصول على موافقة رسمية من الجامعة للإعفاء من الخدمة ,إعفاء من الخدمة، الشروط,قانونية، إدارية
ما هي الشروط اللازمة للحصول على دعم أكاديمي إضافي خلال البعثة؟,يجب على الموفد تقديم طلب رسمي يوضح الحاجة للدعم الأكاديمي الإضافي، مثل الوصول إلى موارد بحثية متقدمة أو المشاركة في دورات تدريبية إضافية، والحصول على موافقة الجهات المختصة في الجامعة ,دعم أكاديمي إضافي، الشروط,أكاديمية، دعم
ما هي الشروط اللازمة للحصول على دعم إضافي لتغطية تكاليف السفر؟,يجب على الموفد تقديم طلب دعم إضافي مع توضيح الحاجة لتغطية تكاليف السفر، وتقديم المستندات المطلوبة مثل إثبات الحضور في مؤتمرات أو فعاليات أكاديمية، والحصول على موافقة الجامعة بناءً على تقييم الطلب ,دعم إضافي، تكاليف السفر,مالية، إدارية
ما هي الشروط اللازمة للحصول على دعم إضافي لتغطية تكاليف الكتب واللوازم الدراسية؟,يجب على الموفد تقديم طلب دعم إضافي يتضمن قائمة بالكتب واللوازم الدراسية المطلوبة، وتقديم العروض أو الفواتير من الموردين، والحصول على موافقة الجامعة بناءً على تقييم الطلب ,دعم إضافي، الكتب واللوازم,مالية، إدارية
ما هي الشروط اللازمة للحصول على دعم إضافي من الجامعة خلال البعثة؟,يجب على الموفد تقديم طلب رسمي يوضح الحاجة للدعم الإضافي، وتقديم المستندات المطلوبة، والحصول على موافقة الجامعة بناءً على التقييم المالي والأكاديمي ,دعم إضافي، الشروط,مالية، إدارية
ما هي الشروط اللازمة للحصول على دعم مالي إضافي لتغطية تكاليف المعيشة؟,يجب على الموفد تقديم طلب رسمي يوضح الحاجة لتغطية تكاليف المعيشة، وتقديم المستندات المطلوبة مثل إثبات الدخل أو الحاجة المالية، والحصول على موافقة الجامعة بناءً على تقييم الطلب ,دعم مالي إضافي، تكاليف المعيشة,مالية، إدارية
ما هي الشروط اللازمة للحصول على دعم مالي إضافي من الجامعة؟,يجب على الموفد تقديم طلب رسمي يوضح الحاجة للدعم المالي الإضافي، وتقديم المستندات الداعمة، والحصول على موافقة الجامعة بناءً على تقييم الطلب والموارد المتاحة ,دعم مالي إضافي، الشروط,مالية، إدارية
ما هي الشروط اللازمة للحصول على دعم مالي لتغطية تكاليف الإقامة خلال البعثة؟,يجب على الموفد تقديم طلب دعم مالي يتضمن تفاصيل تكاليف الإقامة، مثل الإيجار أو تكاليف السكن، وتقديم المستندات الداعمة مثل عقود الإيجار أو الفواتير، والحصول على موافقة الجامعة بناءً على تقييم الطلب ,دعم مالي، تكاليف الإقامة,مالية، إدارية
ما هي الشروط اللازمة للحصول على دعم مالي لتغطية تكاليف البحث العلمي؟,يجب على الموفد تقديم طلب دعم مالي يتضمن تفاصيل تكاليف البحث العلمي، مثل شراء المعدات أو المواد البحثية، وتقديم المستندات الداعمة مثل عروض الأسعار والفواتير، والحصول على موافقة الجامعة بناءً على تقييم الطلب ,دعم مالي، تكاليف البحث,مالية، أكاديمية
ما هي الشروط اللازمة للحصول على دعم مالي لتغطية تكاليف البحث العلمي الدولي بعد تعديل مدة البعثة؟,يجب على الموفد تقديم طلب دعم مالي يتضمن تفاصيل تكاليف البحث العلمي الدولي بعد تعديل مدة البعثة، وتقديم المستندات المطلوبة مثل عروض الأسعار والفواتير، والحصول على موافقة مجلس العمداء على الدعم المالي وفقاً للشروط المحددة ,دعم مالي، البحث العلمي الدولي بعد التعديل,مالية، قانونية
ما هي الشروط اللازمة للحصول على دعم مالي لتغطية تكاليف البحث العلمي بعد تعديل مدة البعثة؟,يجب على الموفد تقديم طلب دعم مالي يتضمن تفاصيل تكاليف البحث العلمي بعد تعديل مدة البعثة، وتقديم المستندات المطلوبة مثل عروض الأسعار والفواتير، والحصول على موافقة مجلس العمداء على الدعم المالي وفقاً للشروط المحددة ,دعم مالي، البحث العلمي بعد التعديل,مالية، قانونية
